Testando diferentes valores de r...

--- r = 1 ---
Run 25: SP = 149.4250 | Tempo = 10.00s
Run 26: SP = 146.7500 | Tempo = 10.00s
Run 27: SP = 148.6150 | Tempo = 10.00s
Run 28: SP = 149.1850 | Tempo = 10.00s
Run 29: SP = 144.6750 | Tempo = 10.00s
Run 30: SP = 148.9900 | Tempo = 10.00s
Resumo para r = 5 -> Min: 143.2800 | Média: 147.3990 | Max: 152.9900 | Tempo médio: 9.7658

--- r = 7 ---
Run 1: SP = 147.9500 | Tempo = 9.67s
Run 2: SP = 144.1600 | Tempo = 10.00s
Run 3: SP = 147.8400 | Tempo = 10.00s
Run 4: SP = 153.9300 | Tempo = 10.00s
Run 5: SP = 148.4300 | Tempo = 10.00s
Run 6: SP = 148.0650 | Tempo = 10.00s
Run 7: SP = 154.3100 | Tempo = 8.21s
Run 8: SP = 143.3350 | Tempo = 10.00s
Run 9: SP = 148.3750 | Tempo = 10.00s
Run 10: SP = 144.5250 | Tempo = 10.00s
Run 11: SP = 149.8650 | Tempo = 10.00s
Run 12: SP = 147.5800 | Tempo = 10.00s
Run 13: SP = 149.8800 | Tempo = 10.00s
Run 14: SP = 151.9850 | Tempo = 10.00s
Run 15: SP = 150.2250 | Tempo = 10.00s
Run 16: SP = 145.0050 | Tempo = 10.00s
Run 17: SP = 147.4000 | Tempo = 7.90s
Run 18: SP = 150.0900 | Tempo = 10.00s
Run 19: SP = 147.7250 | Tempo = 10.00s
Run 20: SP = 143.5250 | Tempo = 10.00s
Run 21: SP = 146.4850 | Tempo = 10.00s
Run 22: SP = 143.9000 | Tempo = 10.00s
Run 23: SP = 148.8650 | Tempo = 9.79s
Run 24: SP = 150.8500 | Tempo = 10.00s
Run 25: SP = 150.2400 | Tempo = 10.00s
Run 26: SP = 148.6900 | Tempo = 10.00s
Run 27: SP = 147.1750 | Tempo = 10.00s
Run 28: SP = 144.5250 | Tempo = 10.00s
Run 29: SP = 146.7800 | Tempo = 10.00s
Run 30: SP = 144.8100 | Tempo = 9.50s
Resumo para r = 7 -> Min: 143.3350 | Média: 147.8840 | Max: 154.3100 | Tempo médio: 9.8358

--- r = 10 ---
Run 1: SP = 149.8800 | Tempo = 9.66s
Run 2: SP = 151.4150 | Tempo = 10.00s
Run 3: SP = 147.7000 | Tempo = 10.00s
Run 4: SP = 151.5450 | Tempo = 10.00s
Run 5: SP = 150.1650 | Tempo = 10.00s
Run 6: SP = 148.2250 | Tempo = 10.00s
Run 7: SP = 147.0300 | Tempo = 10.00s
Run 8: SP = 149.3450 | Tempo = 10.00s
Run 9: SP = 147.4050 | Tempo = 9.93s
Run 10: SP = 147.1850 | Tempo = 10.00s
Run 11: SP = 147.1600 | Tempo = 10.00s
Run 12: SP = 145.4200 | Tempo = 10.00s
Run 13: SP = 148.1550 | Tempo = 10.00s
Run 14: SP = 154.4750 | Tempo = 10.00s
Run 15: SP = 154.4350 | Tempo = 10.00s
Run 16: SP = 150.9850 | Tempo = 10.00s
Run 17: SP = 146.1700 | Tempo = 10.00s
Run 18: SP = 149.1350 | Tempo = 9.72s
Run 19: SP = 148.9400 | Tempo = 10.00s
Run 20: SP = 150.2650 | Tempo = 10.00s
Run 21: SP = 149.6500 | Tempo = 10.00s
Run 22: SP = 154.4800 | Tempo = 10.00s
Run 23: SP = 144.3500 | Tempo = 10.00s
Run 24: SP = 150.9850 | Tempo = 10.00s
